"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","Avg1.5m LWu.","AvgDir","Avg Speedmph","2m MaxGustmph","2 in.°F","Min°F","Avg°F","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin"
"2023/04/01","1","35.1","46.3","54.2","27.2","49.1","0.00","W","11.7","35.0","NA","46.3","47.1","0.00","18.79","0.13","0.20"
"2023/04/02","2","34.1","42.6","53.7","27.7","57.3","0.02","SW","6.6","26.0","NA","45.9","46.9","0.00","15.48","0.11","0.15"
"2023/04/03","3","31.1","40.3","52.1","30.3","71.0","0.22","W","4.4","22.5","NA","46.3","47.3","0.04","13.08","0.08","0.10"
"2023/04/04","4","26.0","40.3","53.5","21.7","52.8","0.00","SW","4.4","18.9","NA","45.2","46.9","0.00","22.74","0.11","0.15"
"2023/04/05","5","26.1","41.5","55.7","24.2","55.0","0.00","SW","6.1","22.5","NA","45.5","47.0","0.00","21.16","0.12","0.16"
"2023/04/06","6","36.6","48.6","59.6","36.5","64.6","0.22","E","3.5","13.5","NA","46.8","47.9","0.01","10.03","0.08","0.11"
"2023/04/07","7","44.9","52.4","62.4","45.2","79.1","0.37","SW","4.0","15.3","NA","48.9","49.8","0.03","13.88","0.09","0.11"
"2023/04/08","8","35.5","49.4","59.9","34.2","59.3","0.00","SW","4.9","18.9","NA","48.8","49.9","0.00","12.28","0.10","0.14"
"2023/04/09","9","48.8","54.3","65.0","44.5","72.0","0.19","SW","5.0","27.8","NA","49.6","50.3","0.12","8.19","0.09","0.13"
"2023/04/10","10","48.6","52.8","55.7","52.1","97.5","0.34","W","3.9","13.5","NA","51.1","51.6","0.41","6.04","0.03","0.03"
"2023/04/11","11","33.3","47.5","55.3","33.9","63.9","0.13","W","7.6","35.0","NA","51.1","51.9","0.06","20.36","0.11","0.14"
"2023/04/12","12","32.1","41.2","52.1","31.2","70.5","0.03","W","4.4","18.9","NA","48.9","50.2","0.00","15.32","0.09","0.11"
