"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","Avg1.5m LWu.","AvgDir","Avg Speedmph","2m MaxGustmph","2 in.°F","Min°F","Avg°F","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin"
"2023/04/13","13","28.5","44.0","55.8","28.2","57.6","0.01","SW","4.1","18.9","NA","48.0","49.6","0.00","21.78","0.11","0.14"
"2023/04/14","14","34.2","47.8","58.9","29.4","52.9","0.01","W","3.1","13.5","NA","49.1","50.8","0.00","23.42","0.12","0.15"
"2023/04/15","15","33.1","50.4","62.4","33.3","54.7","0.01","E","4.0","13.5","NA","50.2","51.7","0.00","16.59","0.11","0.15"
"2023/04/16","16","40.9","51.3","60.8","35.3","56.8","0.01","W","6.8","29.6","NA","51.9","52.5","0.00","10.53","0.11","0.17"
"2023/04/17","17","36.4","45.5","54.8","29.0","54.6","0.01","S","4.1","17.1","NA","50.4","51.7","0.00","14.82","0.10","0.13"
"2023/04/18","18","32.2","44.8","55.4","25.3","49.2","0.00","W","7.1","27.8","NA","50.7","52.0","0.00","17.13","0.12","0.18"
"2023/04/19","19","36.3","45.7","57.7","27.5","52.1","0.00","SW","5.8","24.3","NA","50.8","51.9","0.00","19.70","0.13","0.18"
"2023/04/20","20","29.6","42.2","50.9","31.2","68.4","0.19","S","5.4","24.3","NA","50.3","51.3","0.03","12.61","0.08","0.10"
"2023/04/21","21","37.2","46.8","55.6","37.4","74.2","0.17","W","4.6","13.5","NA","49.9","50.8","0.00","12.19","0.08","0.11"
"2023/04/22","22","43.9","54.3","65.8","38.0","56.1","0.00","E","3.0","11.7","NA","50.8","52.3","0.00","21.17","0.13","0.17"
"2023/04/23","23","47.9","56.9","71.5","42.0","61.5","0.13","W","5.1","27.8","NA","53.7","54.8","0.00","19.22","0.16","0.22"
"2023/04/24","24","45.1","54.2","65.7","32.5","46.6","0.00","W","5.4","20.7","NA","54.4","55.6","0.00","22.48","0.17","0.23"
"2023/04/25","25","36.0","53.9","68.6","36.1","54.6","0.00","S","4.9","18.9","NA","54.8","56.2","0.00","25.32","0.16","0.21"
"2023/04/26","26","42.6","60.1","76.2","40.4","51.6","0.00","W","4.0","17.1","NA","56.0","57.4","0.00","21.78","0.17","0.23"
"2023/04/27","27","49.2","63.3","75.1","36.7","43.2","0.01","NE","4.8","15.3","NA","57.9","59.2","0.00","24.88","0.20","0.27"
"2023/04/28","28","40.4","62.0","79.8","33.0","39.0","0.00","NE","4.3","18.9","NA","58.5","60.1","0.00","26.08","0.21","0.29"
"2023/04/29","29","48.4","68.1","85.2","39.6","38.5","0.00","NE","3.8","11.7","NA","60.1","61.6","0.00","25.16","0.22","0.29"
"2023/04/30","30","53.7","68.0","84.3","40.4","38.9","0.00","W","5.1","20.7","NA","62.2","63.5","0.00","24.00","0.23","0.33"
"2023/05/01","1","48.3","57.7","67.5","41.9","56.5","0.07","W","4.5","17.1","NA","62.8","63.6","0.00","15.28","0.13","0.18"
"2023/05/02","2","47.1","60.0","72.0","47.8","65.9","0.05","SE","3.5","17.1","NA","61.5","62.6","0.00","15.18","0.12","0.15"
"2023/05/03","3","48.6","68.2","86.0","50.2","58.4","0.11","N","3.5","17.1","NA","61.8","63.3","0.00","24.10","0.20","0.25"
"2023/05/04","4","52.1","65.7","80.6","50.5","61.7","0.13","S","5.2","27.8","NA","64.3","65.3","0.02","18.89","0.18","0.24"
"2023/05/05","5","51.0","53.5","57.5","51.6","93.5","0.63","SW","4.2","17.1","NA","63.7","64.7","0.08","7.99","0.05","0.06"
"2023/05/06","6","48.4","58.1","68.5","45.1","66.7","0.29","SW","4.2","20.7","NA","61.9","63.1","0.00","23.42","0.16","0.19"
"2023/05/07","7","46.9","56.0","65.8","43.1","64.7","0.00","SW","5.2","26.0","NA","62.3","63.5","0.00","23.36","0.15","0.19"
"2023/05/08","8","43.0","56.0","69.8","42.2","63.8","0.03","SW","3.7","20.7","NA","62.2","63.6","0.00","21.07","0.15","0.18"
"2023/05/09","9","48.5","58.6","68.9","41.4","57.0","0.00","SW","4.3","15.3","NA","63.1","64.2","0.00","21.86","0.16","0.21"
"2023/05/10","10","42.9","59.5","75.1","40.1","53.8","0.00","NW","3.9","13.5","NA","63.1","64.7","0.00","27.45","0.19","0.24"
"2023/05/11","11","44.7","63.2","78.9","38.5","46.0","0.00","NW","3.4","11.7","NA","64.3","65.9","0.00","27.51","0.20","0.26"
"2023/05/12","12","47.4","66.9","83.5","38.1","39.3","0.00","N","4.2","15.3","NA","65.4","67.2","0.00","27.48","0.23","0.31"
"2023/05/13","13","51.0","71.7","87.9","40.6","36.8","0.00","NE","4.8","24.3","NA","66.9","68.7","0.00","27.71","0.26","0.35"
"2023/05/14","14","60.7","76.3","88.2","41.8","30.4","0.00","NE","5.7","22.5","NA","68.9","70.5","0.00","26.97","0.28","0.39"
"2023/05/15","15","65.6","76.1","86.2","49.1","39.6","0.01","SE","4.5","20.7","NA","71.0","72.3","0.00","23.53","0.24","0.32"
"2023/05/16","16","61.0","69.9","81.0","57.3","67.3","0.27","E","3.4","15.3","NA","72.2","73.2","0.13","15.16","0.15","0.18"
"2023/05/17","17","56.3","69.5","83.2","58.6","73.0","0.35","NW","2.8","11.7","NA","71.2","72.8","0.01","24.99","0.19","0.22"
"2023/05/18","18","56.6","73.8","90.1","56.9","60.8","0.01","NW","3.6","11.7","NA","71.3","73.1","0.00","23.65","0.21","0.27"
"2023/05/19","19","60.4","77.7","93.0","55.7","52.1","0.01","N","3.7","20.7","NA","72.6","74.4","0.00","26.06","0.24","0.31"
"2023/05/20","20","64.3","80.7","96.3","52.1","40.4","0.00","SW","3.7","18.9","NA","74.3","76.1","0.00","27.52","0.27","0.35"
"2023/05/21","21","56.1","73.1","85.7","51.0","48.8","0.01","SW","5.4","22.5","NA","75.9","77.1","0.00","22.67","0.23","0.31"
"2023/05/22","22","43.2","59.8","73.5","36.1","45.7","0.02","W","4.8","20.7","NA","73.8","75.6","0.00","29.31","0.21","0.28"
"2023/05/23","23","43.3","58.9","72.9","37.0","48.9","0.03","W","3.6","13.5","NA","72.4","74.3","0.00","28.65","0.20","0.24"
"2023/05/24","24","45.7","63.4","77.2","39.6","46.8","0.03","W","3.7","13.5","NA","72.2","74.1","0.00","27.91","0.21","0.26"
"2023/05/25","25","52.4","67.3","78.8","43.2","44.1","0.01","N","3.5","13.5","NA","73.5","74.8","0.00","20.36","0.18","0.24"
"2023/05/26","26","55.3","68.3","79.3","44.6","44.3","0.00","W","4.1","18.9","NA","73.3","74.8","0.00","23.55","0.21","0.27"
"2023/05/27","27","52.1","69.1","84.4","47.9","51.2","0.04","NW","4.0","17.1","NA","73.8","75.6","0.00","25.49","0.22","0.28"
"2023/05/28","28","52.8","70.4","85.8","45.6","46.4","0.04","W","3.6","13.5","NA","75.1","76.9","0.00","28.64","0.24","0.30"
"2023/05/29","29","53.9","71.2","87.3","42.4","39.9","0.01","W","3.8","13.5","NA","75.7","77.5","0.00","29.07","0.25","0.33"
"2023/05/30","30","50.7","68.7","84.7","37.9","37.6","0.01","W","3.7","11.7","NA","76.1","77.8","0.00","28.71","0.24","0.31"
"2023/05/31","31","43.3","61.8","76.3","35.6","42.3","0.03","W","4.9","17.1","NA","75.6","77.4","0.00","29.41","0.23","0.30"
